Round 134 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 135 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 136 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 137 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 138 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 139 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 140 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 141 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 142 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 143 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 144 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 145 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 146 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 147 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 148 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 149 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 150 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 151 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 152 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 153 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 154 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 155 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 156 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 157 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 158 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 159 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 160 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 161 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 162 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 163 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 164 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 165 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 166 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 167 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 168 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 169 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 170 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 171 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 172 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 173 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 174 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 175 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 176 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 177 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 178 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 179 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 180 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 181 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 182 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 183 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 184 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 185 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 186 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 187 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 188 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 189 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 190 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 191 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 192 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 193 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 194 | Tit For Tat played DEFECT | Always Defect played DEFECT
Round 195 | Tit For Tat played DEFECT | Always Defect played DEFECT
